time	Pressure	Temperature
0	8950	56
180	8950	350
300	9050	716
420	9500	864
540	9750	899
660	9950	927
780	10100	953
960	10200	977
1080	10250	998
1320	10300	1017
1560	10300	1032
1740	10300	1040
1920	10300	1047
2220	10300	1059
2520	10300	1066
2700	10250	1069
3060	10200	1074
3300	10200	1074
3660	10150	1074
4260	10100	1074
4560	10050	1075
5040	10000	1075
5640	9900	1075
6360	9850	1075
7620	9700	1075
8520	9650	1075
9660	9550	1075
11400	9400	1075
12180	9350	1075
14460	9250	1075
14760	9225	1075
